team,player_number,position,birth_date,shirt_name,club_name,height,weight,league,age,name,caps
Argentina,1,GK,2/10/1986,GUZMÁN,Tigres UANL,192,90,MEX,32.33972603,Nahuel Guzmán,6
Argentina,2,DF,3/18/1987,MERCADO,Sevilla FC,181,81,ESP,31.24109589,Gabriel Mercado,20
Argentina,3,DF,8/31/1992,TAGLIAFICO,AFC Ajax,169,65,NED,25.78630137,Nicolás Tagliafico,4
Argentina,4,DF,9/20/1986,ANSALDI,Torino FC,181,73,ITA,31.73150685,Cristian Ansaldi,5
Argentina,5,MF,1/30/1986,BIGLIA,AC Milan,175,73,ITA,32.36986301,Lucas Biglia,57
Argentina,6,DF,3/17/1987,FAZIO,AS Roma,199,85,ITA,31.24383562,Federico Fazio,9
Argentina,7,MF,6/29/1988,BANEGA,Sevilla FC,175,73,ESP,29.95890411,Éver Banega,62
Argentina,8,DF,10/28/1991,ACUÑA,Sporting CP,172,77,POR,26.62739726,Marcos Acuña,10
Argentina,9,FW,12/10/1987,HIGUAÍN,Juventus FC,184,75,ITA,30.50958904,Gonzalo Higuaín,71
Argentina,10,FW,6/24/1987,MESSI,FC Barcelona,170,72,ESP,30.97260274,Lionel Messi,124
Argentina,11,MF,2/14/1988,DI MARÍA,Paris Saint-Germain FC,178,75,FRA,30.32876712,Ángel Di María,94
Argentina,12,GK,10/16/1986,ARMANI,CA River Plate,189,85,ARG,31.66027397,Franco Armani,0
Argentina,13,MF,12/15/1992,MEZA,CA Independiente,180,76,ARG,25.49589041,Maximiliano Meza,2
Argentina,14,DF,6/8/1984,MASCHERANO,Hebei China Fortune FC,174,73,CHN,34.01643836,Javier Mascherano,143
Argentina,15,MF,2/15/1993,LANZINI,West Ham United FC,167,66,ENG,25.3260274,Enzo Pérez,23
Argentina,16,DF,3/20/1990,ROJO,Manchester United FC,189,82,ENG,28.23561644,Marcos Rojo,56
Argentina,17,DF,2/12/1988,OTAMENDI,Manchester City FC,181,81,ENG,30.33424658,Nicolás Otamendi,54
Argentina,18,DF,7/13/1990,SALVIO,SL Benfica,167,69,POR,27.92054795,Eduardo Salvio,9
Argentina,19,FW,6/2/1988,AGÜERO,Manchester City FC,172,74,ENG,30.03287671,Sergio Agüero,85
Argentina,20,MF,4/9/1996,LO CELSO,Paris Saint-Germain FC,177,75,FRA,22.18082192,Giovani Lo Celso,5
Argentina,21,FW,11/15/1993,DYBALA,Juventus FC,177,73,ITA,24.57808219,Paulo Dybala,12
Argentina,22,MF,1/21/1996,PAVÓN,CA Boca Juniors,169,65,ARG,22.39452055,Cristian Pavón,5
Argentina,23,GK,9/28/1981,CABALLERO,Chelsea FC,186,80,ENG,36.70958904,Willy Caballero,3
Australia,1,GK,4/8/1992,RYAN,Brighton & Hove Albion FC,184,82,ENG,26.18356164,Mathew Ryan,44
Australia,2,DF,4/28/1994,DEGENEK,Yokohama F-Marinos,187,85,JPN,24.12876712,Milos Degenek,18
Australia,3,DF,4/5/1988,MEREDITH,Millwall FC,179,71,ENG,30.19178082,James Meredith,2
Australia,4,FW,12/6/1979,CAHILL,Millwall FC,180,76,ENG,38.52054795,Tim Cahill,106
Australia,5,DF,8/4/1985,MILLIGAN,Al Ahli SC,178,78,KSA,32.86027397,Mark Milligan,71
Australia,6,DF,12/8/1989,JURMAN,Suwon Samsung Bluewings FC,190,83,KOR,28.51506849,Matthew Jurman,4
Australia,7,FW,2/4/1991,LECKIE,Hertha BSC,181,84,GER,27.35616438,Mathew Leckie,53
Australia,8,MF,9/25/1992,LUONGO,Queens Park Rangers FC,176,76,ENG,25.71780822,Massimo Luongo,36
Australia,9,FW,7/22/1991,JURIC,FC Luzern,190,80,SUI,26.89589041,Tomi Juric,35
Australia,10,FW,10/5/1988,KRUSE,VfL Bochum,180,66,GER,29.69041096,Robbie Kruse,64
Australia,11,FW,12/17/1992,NABBOUT,Urawa Reds,178,85,JPN,25.49041096,Andrew Nabbout,4
Australia,12,GK,3/19/1982,JONES,Feyenoord Rotterdam,193,87,NED,36.23835616,Brad Jones,6
Australia,13,MF,9/15/1990,MOOY,Huddersfield Town FC,173,72,ENG,27.74520548,Aaron Mooy,34
Australia,14,FW,7/29/1993,MACLAREN,Hibernian FC,178,72,SCO,24.87671233,Jamie Maclaren,6
Australia,15,MF,8/3/1984,JEDINAK,Aston Villa FC,188,78,ENG,33.8630137,Mile Jedinak,76
Australia,16,DF,12/16/1990,BEHICH,Bursaspor,170,63,TUR,27.49315068,Aziz Behich,23
Australia,17,FW,1/4/1999,ARZANI,Melbourne City FC,171,73,AUS,19.44109589,Daniel Arzani,2
Australia,18,GK,3/27/1985,VUKOVIC,KRC Genk,187,94,BEL,33.21643836,Danny Vukovic,1
Australia,19,DF,7/27/1992,RISDON,WS Wanderers FC,169,70,AUS,25.88219178,Josh Risdon,8
Australia,20,DF,1/5/1992,SAINSBURY,Grasshopper Club,183,76,SUI,26.43835616,Trent Sainsbury,35
Australia,21,FW,11/10/1992,PETRATOS,Newcastle United Jets FC,176,72,AUS,25.59178082,Dimitri Petratos,2
Australia,22,MF,3/7/1993,IRVINE,Hull City FC,180,77,ENG,25.27123288,Jackson Irvine,19
Australia,23,MF,12/16/1992,ROGIC,Celtic FC,189,88,SCO,25.49315068,Tom Rogic,37
Belgium,1,GK,5/11/1992,COURTOIS,Chelsea FC,199,91,ENG,26.09315068,Thibaut Courtois,58
Belgium,2,DF,3/2/1989,ALDERWEIRELD,Tottenham Hotspur FC,186,81,ENG,29.28493151,Toby Alderweireld,77
Belgium,3,DF,11/14/1985,VERMAELEN,FC Barcelona,183,80,ESP,32.58082192,Thomas Vermaelen,66
Belgium,4,DF,4/10/1986,KOMPANY,Manchester City FC,190,85,ENG,32.17808219,Vincent Kompany,77
Belgium,5,DF,4/24/1987,VERTONGHEN,Tottenham Hotspur FC,189,86,ENG,31.13972603,Jan Vertonghen,102
Belgium,6,MF,1/12/1989,WITSEL,Tianjin Quanjian FC,186,73,CHN,29.41917808,Axel Witsel,90
Belgium,7,MF,6/28/1991,DE BRUYNE,Manchester City FC,181,70,ENG,26.96164384,Kevin De Bruyne,62
Belgium,8,MF,11/22/1987,FELLAINI,Manchester United FC,194,85,ENG,30.55890411,Marouane Fellaini,82
